000301C  MAMB  Mar.    4.29 2000    2.88  250.00    2100.     300.  bsf+00
000301C  JCMT  Mar.    4.75 2000    3.34  350.00    3100.    3100.  stw+01
000301C  JCMT  Mar.    4.75 2000    3.34  350.00    3736.    3700.  bsf+00
000301C  Ryle  Mar.    4.98 2000    3.57   15.00     660.     160.  bsf+00
000301C  MAMB  Mar.    5.41 2000    4.00  250.00    2300.     400.  bsf+00
000301C  JCMT  Mar.    5.53 2000    4.12  350.00    2660.    1480.  bsf+00
000301C  JCMT  Mar.    5.53 2000    4.12  350.00    1900.    1200.  stw+01
000301C  OVRO  Mar.    5.57 2000    4.16  100.00    2850.     950.  bsf+00
000301C   VLA  Mar.    5.67 2000    4.26    1.43      11.      79.  bsf+00
000301C   VLA  Mar.    5.67 2000    4.26    4.86     240.      53.  bsf+00
000301C   VLA  Mar.    5.67 2000    4.26    8.46     316.      41.  bsf+00
000301C   VLA  Mar.    5.67 2000    4.26   22.50     884.     216.  bsf+00
000301C  MAMB  Mar.    6.29 2000    4.88  250.00    2000.     500.  bsf+00
000301C   VLA  Mar.    6.39 2000    4.98    8.46     289.      34.  bsf+00
000301C  JCMT  Mar.    6.50 2000    5.09  350.00    1483.    1043.  bsf+00
000301C  JCMT  Mar.    6.50 2000    5.09  350.00    1100.     900.  stw+01
000301C  OVRO  Mar.    6.57 2000    5.16  100.00     -99.    1500.  bsf+00
000301C  MAMB  Mar.    9.25 2000    7.84  250.00     400.     600.  bsf+00
000301C  Ryle  Mar.   10.21 2000    8.80   15.00     480.     300.  bsf+00
000301C   VLA  Mar.   13.58 2000   12.17    8.46     483.      26.  bsf+00
000301C   VLA  Mar.   13.58 2000   12.17   22.50     748.     132.  bsf+00
000301C   VLA  Mar.   15.58 2000   14.17    8.46     312.      62.  bsf+00
000301C   VLA  Mar.   17.61 2000   16.20    8.46     380.      29.  bsf+00
000301C   VLA  Mar.   21.52 2000   20.11    8.46     324.      36.  bsf+00
000301C   VLA  Mar.   23.55 2000   22.14    8.46     338.      69.  bsf+00
000301C  MAMB  Mar.   24.29 2000   22.88  250.00    -300.     500.  bsf+00
000301C   VLA  Mar.   27.55 2000   26.14    8.46     281.      34.  bsf+00
000301C   VLA  Mar.   31.53 2000   30.12    8.46     281.      25.  bsf+00
000301C   VLA  Apr.    4.59 2000   34.18    8.46     325.      27.  bsf+00
000301C   VLA  Apr.   10.36 2000   39.95    8.46     227.      33.  bsf+00
000301C   VLA  Apr.   12.47 2000   42.06    4.86     210.      43.  bsf+00
000301C   VLA  Apr.   12.47 2000   42.06    8.46      91.      38.  bsf+00
000301C   VLA  Apr.   15.43 2000   45.02    8.46     233.      37.  bsf+00
000301C   VLA  Apr.   18.47 2000   48.06    4.86     226.      51.  bsf+00
000301C   VLA  Apr.   18.47 2000   48.06    8.46     145.      36.  bsf+00
000301C   VLA   May    4.49 2000   64.08    4.86     136.      45.  bsf+00
000301C   VLA   May    4.49 2000   64.08    8.46     150.      20.  bsf+00
000301C   VLA   May    7.50 2000   67.09    4.86      85.      33.  bsf+00
000301C   VLA   May    7.50 2000   67.09    8.46     144.      31.  bsf+00
000301C   VLA   May   22.45 2000   82.04    8.46     105.      25.  bsf+00
000301C   VLA   May   23.45 2000   83.04    8.46     114.      24.  bsf+00
000301C   VLA  Jun.    6.40 2000   96.99    8.46     110.      26.  bsf+00
000301C   VLA  Jun.   10.31 2000  100.90    8.46      96.      33.  bsf+00
000301C   VLA  Jun.   14.26 2000  104.85    8.46      45.      24.  bsf+00
000301C   VLA  Jun.   14.29 2000  104.88    8.46      77.      21.  bsf+00
000301C   VLA  Jul.    2.06 2000  122.65    8.46      48.      20.  bsf+00
000301C   VLA  Aug.   13.07 2000  164.66    8.46      35.      12.  fkbw03
000301C   VLA  Jun.   16.23 2001  471.82    8.46      37.      18.  fkbw03
000301C   VLA  Jun.   17.35 2001  472.94    8.46      41.      24.  fkbw03
000301C   VLA  Jun.   18.33 2001  473.92    8.46      33.      16.  fkbw03
000301C   VLA  Jun.   20.37 2001  475.96    8.46      39.      19.  fkbw03
000301C   VLA  Jul.   18.04 2001  503.63    8.46      18.      19.  fkbw03
000301C   VLA  Jul.   20.12 2001  505.71    8.46      55.      26.  fkbw03
000301C   VLA  Jul.   21.14 2001  506.73    8.46      87.      25.  fkbw03
000301C   VLA  Jul.   23.06 2001  508.65    8.46      20.      21.  fkbw03
